web-scraper-order,web-scraper-start-url,links,links-href,brand,price,color,size and fit,fabric and care,pages,pages-href
1755873163-1,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Oversized Raglan Sleeve Hooded Top W Mesh,https://carbon38.com/en-in/products/oversized-raglan-sleeve-hooded-top-w-mesh-black?_pos=298&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 24,500.00",Black,Fits oversized.  Model is wearing size S.,"4-way stretch Terry and Mesh.

Terry Composition: 95% cotton 5% spandex. Mesh Composition: 82% nylon 18% spandex.

For the long life of this easy care style, please follow the directions: machine wash cold, gentle cycle, tumble dry low, cool iron, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873189-2,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super OS Sleeveless BF NK Shirt Flared Mini Dress,https://carbon38.com/en-in/products/super-os-sleeveless-bf-nk-shirt-flared-mini-dress-black?_pos=297&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 31,200.00",Black,Model is wearing size S.,"Wash in cold water with like colors, do not bleach, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873215-3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super OS Sleeveless BF NK Shirt Bodysuit,https://carbon38.com/en-in/products/super-os-sleeveless-bf-nk-shirt-bodysuit-snow-white?_pos=296&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 18,800.00",Snow White,Model is wearing size S.,"Wash in cold water with like colors, do not bleach, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873226-4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Oversized Raglan Sleeve hooded Mini Dress W Mesh,https://carbon38.com/en-in/products/oversized-raglan-sleeve-hooded-mini-dress-w-mesh-snow-white?_pos=295&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 25,500.00",Snow White,Model is wearing size S.,"Machine wash cold, gentle cycle, tumble dry low, cool iron, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873252-5,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Turtle Bodysuit,https://carbon38.com/en-in/products/long-sleeve-turtle-bodysuit-elm?_pos=294&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 17,800.00",Elm,"4-way stretch Poly Lycra.

Composition: 95% polyester 5% elastane



For the long life of this easy care style, please follow the directions: wash in cold water with like colors, only non-chlorine bleach as needed, lay flat to dry, cool iron only, do not dry clean.","4-way stretch Poly Lycra.

Composition: 95% polyester 5% elastane



For the long life of this easy care style, please follow the directions: wash in cold water with like colors, only non-chlorine bleach as needed, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873275-6,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Drop Shoulder top,https://carbon38.com/en-in/products/drop-shoulder-top-black?_pos=293&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 8,200.00",Black,Model is wearing size S.,"Hand wash cool water, line dry, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873301-7,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Slim Fit Long Sleeve Turtle Top,https://carbon38.com/en-in/products/slim-fit-long-sleeve-turtle-top-black?_pos=292&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 18,800.00",Black,,,4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873328-8,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super Oversized Boyfriend NK Shirt Bodysuit,https://carbon38.com/en-in/products/super-oversized-boyfriend-nk-shirt-bodysuit-elm?_pos=291&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 26,400.00",Elm,,,4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873354-9,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Mia Shirt Love,https://carbon38.com/en-in/products/mia-shirt-love-chambray-blue?_pos=290&_fid=a377d3121&_ss=c,KERRI ROSENTHAL,"Rs. 25,800.00",Chambray Blue,"Fits true to size. Model is wearing a size small. Body length is 28 1/2"", size small. Classic fit","100% Cotton Denim

Machine wash in cold water, gentle cycle, with similar colors. Do not bleach, tumble dry low",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873380-10,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Half Zip With Contrast Stripe in Scuba,https://carbon38.com/en-in/products/half-zip-with-contrast-stripe-ivory?_pos=289&_fid=a377d3121&_ss=c,CARBON38,"Rs. 14,300.00",Ivory,Model is wearing size S. Fits true to size.,"55% Nylon, 38% Rayon, 7% Spandex

Machine Wash Cold w/ Like Colors

Do Not Bleach

Line Dry

Cool Iron if needed",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873414-11,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Shrug in French Terry,https://carbon38.com/en-in/products/fleece-shrug-white?_pos=288&_fid=3023b071c&_ss=c,CARBON38,"Rs. 13,300.00",White,,"50% Cotton 50% Modal

Machine wash with like colors on cold

Tumble Dry Low",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873441-12,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Shrug in French Terry,https://carbon38.com/en-in/products/fleece-shrug-black?_pos=287&_fid=3023b071c&_ss=c,CARBON38,"Rs. 13,300.00",Black,Model is wearing size S.,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873467-13,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Tierney Boucle Coatigan With Scarf,https://carbon38.com/en-in/products/tierney-boucle-coatigan-with-scarf-black-with-sea-salt-stitch?_pos=286&_fid=3023b071c&_ss=c,525,"Rs. 13,000.00",Black with Sea Salt Stitch,"Relaxed fit Length: 26"" Model is wearing size S.","56% Polyester, 19% Nylon, 12% Cotton, 11% Acrylic, 2% Spandex

Machine wash, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873493-14,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Rocky Ridge Pullover,https://carbon38.com/en-in/products/rocky-ridge-pullover-4166-red-orange?_pos=285&_fid=3023b071c&_ss=c,,"Rs. 13,800.00",Red/Orange,Measurements for size small Bust: 52.25 in Length: 24 in Model is wearing size S.,Machine Wash Cold,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873520-15,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Classic Soleil Sport Crew Neck Sweatshirt,https://carbon38.com/en-in/products/classic-soleil-sport-crew-neck-sweatshirt-spectrum-blue-1?_pos=283&_fid=3023b071c&_ss=c,BANDIER,"Rs. 9,500.00",Spectrum Blue,Model is wearing size S.,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873546-16,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Mimi Long Sleeve Knit Sweater,https://carbon38.com/en-in/products/mimi-long-sleeve-knit-sweater-breton-stripe-cream-blue?_pos=282&_fid=3023b071c&_ss=c,,"Rs. 23,700.00",Breton Stripe Cream/Blue,This item has a slim fit 62 cm at center back for size M Model is wearing size S.,"Fabrics: 45 % acrylic, 30 % merino wool, 25 % polyamide

• Machine wash on wool cycle at 30 degrees Celsius

• Do not dry clean

• Do not tumble dry

• Cool iron

• Do not bleach

• Use a (wool wash) liquid detergent without bleach

• Wash and iron inside out

• Dry flat

• Do not soak in detergent",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873553-17,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pearl Embellished Sweater,https://carbon38.com/en-in/products/pearl-embellished-sweater-rose-cloud?_pos=281&_fid=3023b071c&_ss=c,CARBON38,"Rs. 13,800.00",Rose Cloud,Fits true to size. Model is wearing size small.  Model is wearing size S.,"59%ACRYLIC 31%NYLON 10%WOOL

HAND WASH COLD. DO NOT BLEACH. DO NOT TUMBLE DRY - RESHAPE AND LAY FLAT. DO NOT IRON.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873579-18,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Woodstock Viva Crochet Top,https://carbon38.com/en-in/products/woodstock-viva-crochet-top-multi?_pos=280&_fid=3023b071c&_ss=c,THE UPSIDE,"Rs. 15,600.00",Multi Scallop,True To Size Model is wearing size S.,"100% Cotton

Hand Wash With Similar Colour. Wash In Cold Water. Do Not Soak, Bleach Or Wring. Reshape Whilst Damp. Dry Flat In Shade. Do Not Tumble Dry. No Iron. Do Not Dry Clean.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873605-19,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Wrap Neck Tank,https://carbon38.com/en-in/products/wrap-neck-tank-white?_pos=279&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",White,Model is wearing size S.,"Machine Wash Cold with Like Colors

Do Not Bleach

Line Dry

Low Iron

Do Not Dry Clean



78% Recycled Nylon 22% Elastane



FABRIC: UV PROTECTANT, RECYCLED YARN & BREATHABLE BACK MESH PANEL",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873632-20,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,The Travel Sweater,https://carbon38.com/en-in/products/sweater-cardigan-multi-color?_pos=278&_fid=3023b071c&_ss=c,CARBON38,"Rs. 16,200.00",Multi,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873658-21,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Run Top in Melt,https://carbon38.com/en-in/products/rash-guard-run-top-acid-lime?_pos=277&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",ACID LIME,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873685-22,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Cut Out Halter Neck Ribbed Cami,https://carbon38.com/en-in/products/cut-out-halterneck-cami-dark-teal?_pos=276&_fid=3023b071c&_ss=c,CARBON38,"Rs. 2,500.00",Dark Teal,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873693-23,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Fleece Back Half Zip Top,https://carbon38.com/en-in/products/fleece-back-half-zip-top-dark-olive-acid-lime?_pos=275&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Dark Olive/ Acid Lime,Model is wearing size S.,"85%POLYAMIDE 15%ELASTANCE

MACHINE WASH COLD WITH LIKE COLORS GENTLE CYCLE. DO NOT BLEACH. TUMBLE DRY LOW. COOL IRON. DRY CLEANABLE.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873719-24,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,FRENCH TERRY HALF ZIP,https://carbon38.com/en-in/products/french-terry-half-zip-clearly-aqua?_pos=274&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,000.00",CLEARLY AQUA,True to size. Model is in a size small. Model is wearing size S.,"Machine Wash Cold, Inside Out, With Other Like Colors/ Do Not Bleach / Tumble Dry, Low Temp / Do not Iron / Do not Dry Clean.



60% Organic Cotton 28% Recycled Cotton 14% Polyester",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873745-25,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Printed Base Layer,https://carbon38.com/en-in/products/mock-neck-s-top-black-white?_pos=273&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Buffalo Plaid,Fits like a base layer - a bit more snug. Model is wearing a size small.  Model is wearing size S.,"81% Nylon 19% Spandex

MACHINE WASH COLD W/ LIKE COLORS. NO BLEACH. HANG TO DRY. DO NOT IRON. NO DRY CLEANING.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873771-26,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Wrap Neck Shirt,https://carbon38.com/en-in/products/l-s-wrap-neck-shirt-white?_pos=272&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",White,,"Machine Wash Cold with Like Colors

Do Not Bleach

Line Dry

Low Iron

Do Not Dry Clean



78% Recycled Nylon 22% Elastane 



FABRIC: UV PROTECTANT, RECYCLED YARN & BREATHABLE BACK MESH PANEL",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873798-27,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Twisted Tunic Shirt,https://carbon38.com/en-in/products/twisted-tunic-shirt-white-tan-stripe?_pos=271&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",White/Tan Stripe,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"65% COTTON 32% NYLON 3% SPANDEX

MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. HANG TO DRY. COOL IRON",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873824-28,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Mesh Off Shoulder Top,https://carbon38.com/en-in/products/mesh-off-shoulder-top-black?_pos=270&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Black,Fits true to size. Model is wearing size small.  Model is wearing size S.,"95%POLYESTER 5%SPANDEX

MACHINE WASH COLD. DO NOT BLEACH. HANG TO DRY. DO NOT IRON. DRY CLEANABLE.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873832-29,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Ombre French Terry Half Zip / Cactus,https://carbon38.com/en-in/products/ombre-french-terry-half-zip-cactus-caramel-cafe-to-rose-cloud?_pos=269&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,300.00",Caramel Cafe to Rose Cloud,Model is wearing size S.,"60% Organic Cotton, 28% Recycled Cotton, 14% Polyester. Machine Wash Cold, Inside Out, With Like colors",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873858-30,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,SLEEVELESS MOCK NECK TOP IN MELT,https://carbon38.com/en-in/products/sleeveless-mock-neck-top-black?_pos=268&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",BLACK,,"Machine Wash Cold w/ Like Colors // No Bleach// Hang to Dry// Do not iron // Do not dry clean. 



81% Nylon 19% Spandex",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873885-31,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Tank In Diamond Compression,https://carbon38.com/en-in/products/tank-in-diamond-compression-black?_pos=267&_fid=3023b071c&_ss=c,CARBON38,"Rs. 4,400.00",Black,,"Machine wash cold, Tumble dry low",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873912-32,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,RHINESTONE OVERSIZED BUTTON UP SHIRT,https://carbon38.com/en-in/products/rhinestone-oversized-button-up-shirt-blue-with-silver-rhinestones?_pos=266&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,500.00",Blue with Silver Rhinestones,OVERSIZED. Model is in a size small. Model is wearing size S.,65% COTTON 32% NYLON 3% SPANDEX. MACHINE WASH COLD. NO BLEACH. LINE DRY. LOW IRON. DO NOT DRY CLEAN.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873934-33,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Ribbed Tank,https://carbon38.com/en-in/products/ribbed-tank-1-black?_pos=265&_fid=3023b071c&_ss=c,CARBON38,"Rs. 3,700.00",Black,,"85 NYLON, 15 SPANDEX. 



MACHINE WASH COLD WITH OTHER LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW. COOL IRON IF NEEDED.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873961-34,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Zip Long Sleeve Run Top,https://carbon38.com/en-in/products/zip-long-sleeve-run-top-charcoal-grey?_pos=264&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",Charcoal Heather,,"Machine wash cold with like colors/ do not bleach / hang dry / do not iron / do not dry clean.



87% POLYESTER 13% SPANDEX",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873971-35,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Top,https://carbon38.com/en-in/products/top-multicolor-blue-green-and-orange-tones?_pos=263&_fid=3023b071c&_ss=c,MISSONI,"Rs. 20,500.00",Multicolor,Model is wearing size S.,"EXTERNAL:95%Polyester, 5%Elastane

Machine wash cold. Lay flat to dry",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755873997-36,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Reversible Boucle Sweater,https://carbon38.com/en-in/products/reversible-boucle-sweater-off-white?_pos=262&_fid=3023b071c&_ss=c,CARBON38,"Rs. 13,800.00",Off White,Fits true to size. Model is wearing a size small. Model is wearing size S.,"15% Wool 47% Acrylic 35% Nylon 3% Spandex



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874024-37,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Pocket Tee,https://carbon38.com/en-in/products/short-sleeve-pocket-tee-silversage?_pos=261&_fid=3023b071c&_ss=c,CARBON38,"Rs. 6,400.00",Silversage,,50% Cotton 50% Modal. MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874050-38,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Wrap Top in Melt,https://carbon38.com/en-in/products/long-sleeve-wrap-top-acid-lime?_pos=260&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,000.00",Acid Lime,,"94% VISCOSE 6% ELASTANE

HAND WASH, DO NOT BLEACH, DRY FLAT, LOW IRON, DRY CLEANABLE",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874076-39,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pleated Back Tank in Melt,https://carbon38.com/en-in/products/pleated-back-tank-silver-sage-acid-lime?_pos=259&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,000.00",Silversage / Acid Lime,,"81%NYLON 19%SPANDEX

MACHINE WASH GENTLE

DO NOT IRON | DO NOT BLEACH | LAY FLAT TO DRY/ DO NOT TUMBLE DRY.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874098-40,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Colorblock Half Zip Top in Melt,https://carbon38.com/en-in/products/colorblock-half-zip-top-silversage-acid-lime?_pos=258&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Silversage / Acid Lime,,81% Nylon 19% Spandex. MACHINE WASH COLD WITH OTHERR LIKE COLORS. DO NOT BLEACH. HANG TO DRY. DO NOT IRON. DO NOT DRY CLEAN.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874111-41,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Colorblock High Neck Tank,https://carbon38.com/en-in/products/colorblock-high-neck-tank-silversage-acid-lime?_pos=257&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",Silversage / Acid Lime,,"81% Nylon 19% Spandex

MACHINE WASH COLD W/ LIKE COLORS

DO NOT BLEACH

HANG TO DRY 

DO NOT IRON",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874137-42,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Puff Sleeve Tee,https://carbon38.com/en-in/products/puff-sleeve-tee-muted-clay?_pos=256&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",Muted Clay,Fits true to size. Model is wearing a size small. Model is wearing size S.,"50% Cotton 50% Modal/

Machine was cold. Do not bleach. Tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
